Date,License Plate,Description,Camera,Site,Cleaned License Plate,Validation Reason,Make,Type Approval,Lookup Status,Lookup Status Code
11/03/2025 08:51:31 PM UTC,BF72PUY,,CB52-E Bullet Camera,Coventry,BF72PUY,Valid UK current registration format,LEXUS,M1,Success,0
11/03/2025 08:39:05 PM UTC,YK72E7V,,CB52-E Bullet Camera,Coventry,YK72E7V,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 08:30:28 PM UTC,SD13TT3,,CB52-E Bullet Camera,Coventry,SD13TT3,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 08:00:09 PM UTC,GG64GC,,CB52-E Bullet Camera,Coventry,GG64GC,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 07:42:45 PM UTC,LG72EBV,,CB52-E Bullet Camera,Coventry,LG72EBV,Valid UK current registration format,BYD,,SuccessWithResultsBlockWarnings,1
11/03/2025 07:09:29 PM UTC,ST69VPF,,CB52-E Bullet Camera,Coventry,ST69VPF,Valid UK current registration format,TOYOTA,M1,Success,0
11/03/2025 07:06:47 PM UTC,RJAPHY,,CB52-E Bullet Camera,Coventry,RJAPHY,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 06:49:42 PM UTC,GV06HZZ,,CB52-E Bullet Camera,Coventry,GV06HZZ,Valid UK current registration format,AUDI,M1,Success,0
11/03/2025 06:18:32 PM UTC,LP68UFM,,CB52-E Bullet Camera,Coventry,LP68UFM,Valid UK current registration format,MERCEDES-BENZ,M1,Success,0
11/03/2025 06:18:12 PM UTC,EA59NLC,,CB52-E Bullet Camera,Coventry,EA59NLC,Valid UK current registration format,JAGUAR,M1,Success,0
11/03/2025 06:15:37 PM UTC,YCJJFX,,CB52-E Bullet Camera,Coventry,YCJJFX,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 06:00:31 PM UTC,VF22BJV,,CB52-E Bullet Camera,Coventry,VF22BJV,Valid UK current registration format,LAND ROVER,,SuccessWithResultsBlockWarnings,1
11/03/2025 05:56:24 PM UTC,EG10MAR,,CB52-E Bullet Camera,Coventry,EG10MAR,Valid UK current registration format,ALFA ROMEO,M1,Success,0
11/03/2025 05:51:32 PM UTC,BR18F0P,,CB52-E Bullet Camera,Coventry,BR18F0P,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 05:46:11 PM UTC,LG22E9X,,CB52-E Bullet Camera,Coventry,LG22E9X,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 05:44:35 PM UTC,SK74A0N,,CB52-E Bullet Camera,Coventry,SK74A0N,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 05:38:14 PM UTC,SA10JVC,,CB52-E Bullet Camera,Coventry,SA10JVC,Valid UK current registration format,VAUXHALL,M1,Success,0
11/03/2025 05:35:53 PM UTC,Y263LAP,,CB52-E Bullet Camera,Coventry,Y263LAP,Valid UK prefix registration format,BMW,M1,Success,0
11/03/2025 05:34:03 PM UTC,ST69VPF,,CB52-E Bullet Camera,Coventry,ST69VPF,Valid UK current registration format,TOYOTA,M1,Success,0
11/03/2025 05:25:17 PM UTC,LR16MKC,,CB52-E Bullet Camera,Coventry,LR16MKC,Valid UK current registration format,AUDI,M1,Success,0
11/03/2025 05:15:29 PM UTC,BV74FFH,,CB52-E Bullet Camera,Coventry,BV74FFH,Valid UK current registration format,AUDI,M1,Success,0
11/03/2025 05:14:42 PM UTC,B624LYX,,CB52-E Bullet Camera,Coventry,B624LYX,Valid UK prefix registration format,,,NoResultsFound,2
11/03/2025 05:11:45 PM UTC,FV07V6P,,CB52-E Bullet Camera,Coventry,FV07V6P,Valid UK dateless registration format,,,InvalidSearchTerm,13
11/03/2025 04:58:30 PM UTC,BW16RE0,,CB52-E Bullet Camera,Coventry,BW16RE0,Valid UK dateless registration format,,,InvalidSearchTerm,13
